customer_id,transaction_count,total_transaction_value,avg_transaction_value
CUST007843,34,2995891.34,88114.45
CUST040263,27,2945417.51,109089.54
CUST036326,27,2880171.85,106673.03
CUST013069,32,2875975.18,89874.22
CUST002043,27,2870698.01,106322.15
CUST014512,23,2856839.27,124210.4
CUST010239,21,2853488.9,135880.42
CUST003909,20,2786739.98,139337.0
CUST013119,20,2748562.42,137428.12
CUST003142,29,2740833.12,94511.49
CUST011596,16,2736993.12,171062.07
CUST048818,26,2712827.55,104339.52
CUST005751,26,2706341.4,104090.05
CUST012449,27,2703437.08,100127.3
CUST042008,15,2683071.63,178871.44
CUST047696,15,2681233.38,178748.89
CUST030566,19,2669024.78,140474.99
CUST030562,24,2649595.76,110399.82
CUST002370,22,2645520.63,120250.94
CUST046652,16,2631940.32,164496.27
CUST039224,20,2628959.77,131447.99
CUST006254,28,2618998.7,93535.67
CUST018654,30,2600629.87,86687.66
CUST044807,24,2587602.52,107816.77
CUST029886,22,2575726.95,117078.5
CUST038747,25,2567613.21,102704.53
CUST045548,22,2558362.44,116289.2
CUST047041,20,2548753.44,127437.67
CUST038778,24,2542752.99,105948.04
CUST041742,20,2542681.94,127134.1
CUST032610,26,2489890.27,95765.01
CUST008705,21,2473005.18,117762.15
CUST027542,23,2472838.54,107514.72
CUST000323,24,2464920.19,102705.01
CUST046742,23,2455029.2,106740.4
CUST048970,24,2436298.39,101512.43
CUST002082,22,2432413.93,110564.27
CUST012893,23,2400803.77,104382.77
CUST001664,24,2396856.2,99869.01
CUST026241,33,2390217.63,72430.84
CUST013015,21,2387634.0,113696.86
CUST006288,22,2380084.35,108185.65
CUST043859,17,2358868.09,138756.95
CUST033136,20,2352836.17,117641.81
CUST022754,22,2350546.93,106843.04
CUST033784,25,2320986.49,92839.46
CUST035977,13,2308320.43,177563.11
CUST033758,19,2300829.14,121096.27
CUST041951,29,2294000.59,79103.47
CUST036367,22,2285490.34,103885.92
CUST031865,29,2282873.4,78719.77
CUST031494,27,2281321.01,84493.37
CUST035172,21,2267399.61,107971.41
CUST034747,24,2261038.11,94209.92
CUST023812,22,2252303.01,102377.41
CUST043571,20,2246213.85,112310.69
CUST036586,19,2239497.57,117868.29
CUST024624,24,2221645.33,92568.56
CUST039651,27,2208602.56,81800.09
CUST046629,25,2207427.44,88297.1
CUST020095,21,2197974.45,104665.45
CUST026674,20,2195040.54,109752.03
CUST048478,21,2193434.03,104449.24
CUST035834,18,2184374.11,121354.12
CUST048679,20,2181718.23,109085.91
CUST036651,19,2174136.42,114428.23
CUST033635,28,2172999.86,77607.14
CUST026337,22,2168600.88,98572.77
CUST035845,25,2166675.15,86667.01
CUST018042,23,2156030.89,93740.47
CUST030318,18,2138138.43,118785.47
CUST017626,20,2127854.77,106392.74
CUST024794,31,2123922.94,68513.64
CUST021796,14,2116819.93,151201.42
CUST022437,22,2106308.25,95741.28
CUST014283,27,2104527.88,77945.48
CUST009117,17,2096837.17,123343.36
CUST017692,21,2096255.59,99821.69
CUST030313,21,2088030.57,99430.03
CUST009352,19,2085974.88,109788.15
CUST009284,23,2069590.3,89982.19
CUST010147,22,2064783.3,93853.79
CUST048345,16,2061848.36,128865.52
CUST037722,20,2033421.19,101671.06
CUST013802,14,2033300.35,145235.74
CUST048562,23,2025406.23,88061.14
CUST005951,19,2025385.75,106599.25
CUST028222,20,2024848.87,101242.44
CUST039143,26,2023830.03,77839.62
CUST038187,20,2016049.83,100802.49
CUST045819,16,2004789.81,125299.36
CUST015569,24,1988715.52,82863.15
CUST022596,23,1982410.14,86191.75
CUST031228,27,1978985.24,73295.75
CUST038136,22,1971103.49,89595.61
CUST032308,30,1970476.93,65682.56
CUST044695,19,1954819.66,102885.25
CUST035789,21,1954649.7,93078.56
CUST016180,19,1952463.42,102761.23
CUST043331,24,1944186.58,81007.77
CUST001588,23,1940740.19,84380.01
CUST001446,20,1937163.26,96858.16
CUST034314,25,1935922.36,77436.89
CUST001759,23,1926863.82,83776.69
